,nav,cost,slippage,tax,turnover,n_holdings
2004-09-16,3275497.97443709,0.0,0.0,0.0,0.0,10
2004-09-17,3278261.557881848,0.0,0.0,0.0,0.0,10
2004-09-20,3278637.0738773374,0.0,0.0,0.0,0.0,10
2004-09-21,3296263.3185209427,0.0,0.0,0.0,0.0,10
2004-09-22,3270948.3037867956,0.0,0.0,0.0,0.0,10
2004-09-23,3280412.4542131103,0.0,0.0,0.0,0.0,10
2004-09-24,3279025.4246915937,0.0,0.0,0.0,0.0,10
2004-09-27,3231951.6949073067,0.0,0.0,0.0,0.0,10
2004-09-28,3205800.577599622,0.0,0.0,0.0,0.0,10
2004-09-29,3274331.3656129567,0.0,0.0,0.0,0.0,10
2004-09-30,3293039.649172239,0.0,0.0,0.0,0.0,10
2004-10-01,3340210.472240255,114.01105219317982,3656.771392976752,60214.15289165771,3800368.4064393276,10
2004-10-04,3402480.2986784875,0.0,0.0,0.0,0.0,10
2004-10-05,3422149.556854045,0.0,0.0,0.0,0.0,10
2004-10-06,3457477.364668822,0.0,0.0,0.0,0.0,10
2004-10-07,3408393.067105799,0.0,0.0,0.0,0.0,10
2004-10-08,3336788.461549093,0.0,0.0,0.0,0.0,10
2004-10-11,3350063.8320811503,0.0,0.0,0.0,0.0,10
2004-10-12,3358755.67029945,0.0,0.0,0.0,0.0,10
2004-10-13,3338177.721119901,0.0,0.0,0.0,0.0,10
2004-10-14,3327812.8440061873,0.0,0.0,0.0,0.0,10
2004-10-15,3244741.0314522143,0.0,0.0,0.0,0.0,10
2004-10-18,3241013.261542569,0.0,0.0,0.0,0.0,10
2004-10-19,3243244.8052646006,0.0,0.0,0.0,0.0,10
2004-10-20,3242342.855145962,0.0,0.0,0.0,0.0,10
2004-10-21,3252575.8406686,0.0,0.0,0.0,0.0,10
2004-10-22,3157009.6873037014,0.0,0.0,0.0,0.0,10
2004-10-25,3201163.0391651625,0.0,0.0,0.0,0.0,10
2004-10-26,3178819.9112783205,0.0,0.0,0.0,0.0,10
2004-10-27,3309141.4713780573,0.0,0.0,0.0,0.0,10
2004-10-28,3302338.4144328497,0.0,0.0,0.0,0.0,10
2004-10-29,3305592.55976379,0.0,0.0,0.0,0.0,10
2004-11-01,3318544.0362949185,0.0,0.0,0.0,0.0,10
2004-11-02,3363496.5473433305,0.0,0.0,0.0,0.0,10
2004-11-03,3402846.477845693,0.0,0.0,0.0,0.0,10
2004-11-04,3452047.412668404,0.0,0.0,0.0,0.0,10
2004-11-05,3451596.2946650255,0.0,0.0,0.0,0.0,10
2004-11-08,3512916.3289082646,0.0,0.0,0.0,0.0,10
2004-11-09,3500828.5270291213,0.0,0.0,0.0,0.0,10
2004-11-10,3598990.292524415,0.0,0.0,0.0,0.0,10
2004-11-11,3702014.750561895,0.0,0.0,0.0,0.0,10
2004-11-12,3778336.6648179134,0.0,0.0,0.0,0.0,10
2004-11-15,3794002.7710285084,0.0,0.0,0.0,0.0,10
2004-11-16,3734490.2691669334,0.0,0.0,0.0,0.0,10
2004-11-17,3729691.552814142,0.0,0.0,0.0,0.0,10
2004-11-18,3797907.584712416,0.0,0.0,0.0,0.0,10
